topic,keywords
19,"ban, server, depression, admittedly, responsible, person, mandatory, innocent, lady, piss, discord, go, cat, make, actually, exact, difference, account, lock, back, horrible, instead, throw, community, play, get, koltyr, virtue, planetside, permabanned"
20,"blow, aye, laugh, porn, whoosh, horny, petal, crunchy, thing, hentai, fatshark, beauty, depressed, bang, proud, fart, boom, scroll, smile, sht, happy, go, loud, among, ok, could, ass, max, close, cause"
21,"shooter, shooting, looter, innovative, booster, person, recomment, tm, friendnamehere, gep, hi, firearm, enhance, hello, shoot, motion, activity, decade, shame, year, among, great, blast, date, soundtrack, third, first, time, fantastic, team"
22,"frame, per, second, slowmo, launcher, medium, wish, setting, oh, bg, ik, norespawn, battery, optimizedimprove, overclocked, founder, latency, armaand, likey, evga, decadedemon, peek, refresh, ubisofts, pregger, lotr, silently, good, shooter, monolith"
23,"soul, dark, ghost, otherwise, gloss, cardinal, prayerfully, wierdly, bog, unholy, userinterface, demonsand, citybuilder, trinity, continually, nirvana, glory, muh, eachother, sadist, thoughtfully, masterwork, intellect, spectacle, frostpunk, case, whole, analytical, sunday, band"
24,"horror, creepy, psychological, survival, scary, scare, fear, kill, kinda, purge, photosensetive, salvato, kawai, slayer, holyyy, unclean, goodness, firepower, sorta, zombie, super, afraid, heretic, starve, mutant, congratulation, illness, surprised, regarding, scared"
25,"deck, face, spire, slay, train, builder, wave, replace, unique, martial, dice, clear, link, deckbuilder, tricky, artifact, challenge, objective, art, yet, roguelike, card, fight, opponent, hero, purchase, run, film, recreate, designate"
26,"pc, console, file, port, ceo, ipresent, framerate, second, apply, frame, reccomend, per, infinite, bethesda, rockstar, ea, gamer, tutorial, change, past, dying, english, lightfall, deprived, tomfoolery, dumbass, cfg, reccomendation, inevitability, rebind"
27,"campaign, tiger, unit, sniping, falaise, fox, pocket, war, shot, poorly, soldier, red, panzer, ru, causeway, hen, ill, dawn, hero, content, downloadable, pool, mother, ace, battle, offer, map, bundle, playstyle, sniper"
28,"half, life, source, original, series, welp, influential, teary, ahhh, sourcemod, whole, yes, hl, insane, lover, unable, flashlight, finish, halflife, argument, answer, glorious, strongly, wonderful, ahead, expand, valve, improvement, water, score"
29,"card, play, battle, free, rival, fun, sound, roguelike, wonder, live, vs, usually, computer, age, minute, collecting, accelerate, expletive, ckii, playervsplayer, cox, comob, channel, regni, gamepass, gameit, deter, kongregatecom, charactersgod, playervscomputer"
30,"classic, old, surgeryd, certify, comeback, hood, curse, redfield, plastic, chris, glad, nostalgic, rt, school, back, look, age, later, random, mean, year, come, player, people, see, still, great, fun, , "
31,"peace, combat, hard, literally, stupidly, faction, lag, minute, handful, troop, kick, dollar, punch, playable, loud, die, laugh, turn, ton, understand, shortwhich, stutteringon, fascinate, practise, opportunistic, parade, assend, cryo, cripple, elemental"
32,"fallout, mod, rpgs, bethesda, use, care, town, vat, fix, least, contrary, game, vanilla, achievement, developer, quest, one, way, change, bug, different, give, developemental, whick, alternitave, pie, commonwealth, supremacy, smoking, postmodern"
33,"hour, paint, average, beautiful, wait, short, price, story, hard, onetime, temple, amusing, underpriced, microwave, ms, monthsyear, grandma, infinitely, dry, kingdom, long, overpriced, replayable, nasa, end, crack, graphic, epic, length, ride"
34,"mech, dd, xcom, turn, breach, straightforward, modify, pretty, interesting, decision, base, element, rule, resource, customization, magic, combat, outside, universe, meaningful, get, even, management, loot, choice, take, fight, chance, puzzle, gameplay"
35,"disconnect, audio, fix, issue, microsoft, misson, buy, online, server, launch, connection, app, till, ea, ubisoft, gain, several, time, troubleshoot, incorrect, httpsyoutubetejsaojvuq, alttab, risk, saying, itme, ucked, unfixed, keeps, unavilable, coop"
36,"buggy, break, sr, ending, parkour, flaw, bug, edit, upset, glitchy, absurd, midmission, lovin, jc, havoc, challenge, lack, unleash, cave, respond, asap, medal, transition, google, blacksmith, lot, complete, autosave, exit, infuriate"
37,"shoot, lynch, camera, rifle, gun, kl, police, weapon, exp, point, oh, exist, shootout, use, match, every, man, information, icon, player, get, go, put, shotgun, still, game, cameraman, kane, kd, incredibly"
38,"devs, early, grind, zombie, legacy, project, access, wich, rogue, shine, dungeon, streamer, add, month, love, survive, minecraft, statement, solid, year, dlcs, content, unlockable, alpha, full, building, moon, wheel, entire, become"
39,"telltale, adventure, puzzle, borderland, think, discover, gabriel, absolve, sometimes, one, replay, knight, end, minor, episode, tale, ending, choice, comic_strip, everything, guardian, story, away, complain, happy, wish, idea, set, murder, good"
40,"duel, modification, good, cheesy, game, shooter, sound, pretty, mechanic, part, annoying, story, satisfying, design, mention, along, especially, far, another, great, series, weapon, however, novid, ironman, maneuver, dilemma, sprinkle, choreograph, bjs"
41,"halo, multiplayer, quake, series, overwatch, way, mp, know, package, duty, hey, feel, guardian, shape, popular, story, well, however, custom, pay, horrible, come, though, player, grow, say, campaign, believe, map, quality"
42,"eat, life, society, download, hobo, dystopian, cuss, mental, virginity, brillant, mewt, saving, flush, grace, monitor, judgement, morality, proud, wife, stability, russian, ready, choice, free, patience, brother, chinese, wanna, food, unlike"
43,"frustrating, annoying, swap, block, find, available, puzzle, area, screenn, snipping, puzzles, gingerly, accomplish, readily, toward, waypoint, frustratingly, later, let, outweigh, unlock, way, narrator, charming, expert, teleport, noise, frequently, vote, adjust"
44,"real, animation, walker, space, feel, lugo, weapon, work, use, marine, new, movie, stay, almost, character, saint, long, save, heavy, really, order, callisto, cinematic, bj, adam, team, go, gta, mission, like"
45,"crysis, style, visual, crank, darker, chilling, shoulder, shty, quadwielde, pewpew, catalogue, lengthy, asian, halflifelike, aestheitcs, underappreciated, classic, call, trace, footage, mount, saturation, upside, shade, uninteresting, ray, enhancement, cult, graphical, pc"
46,"rabbit, download, please, hour, minute, ummm, meetingsresponsibilitiesetc, mintue, wreckf, pelt, pheasant, title, perfect, steam, immensely, focused, accord, recommend, complete, technique, egg, hurry, easter, nice, sale, short, coin, worth, hook, wonderful"
47,"coop, fuck, wit, funcreepy, couch, sudden, ridiculous, brother, join, purpose, singleplayer, fail, solo, anymore, gaming, experience, sell, pace, fun, buy, online, modern, epic, waste, fine, entire, basically, support, soul, whole"
48,"vr, headset, narration, great, quality, environment, espeically, index, reallycool, raputre, madness, oblige, experince, gaben, knuckle, nobrainer, voice, becuase, mute, employ, eh, mountain, faithful, bro, alyx, heck, definitive, wonderfully, professional, lovecraft"
49,"remake, payne, regard, max, lethal, wierd, imaginable, footage, utter, clone, scared, slowmo, original, blue, halflife, downgrade, remastered, hilarious, shift, crap, treat, happy, fear, generic, robot, military, shine, engine, anymore, ride"
50,"hate, taxis, terraria, ig, eh, genuinely, remove, okay, team, stand, everything, game, great, , , , , , , , , , , , , , , , , "
51,"addict, addictive, oki, questalike, purely, learning, curve, dream, impossible, nearly, fun, everyone, ton, beat, might, content, start, part, little, enjoy, pretty, first, really, get, play, game, , , , "
52,"hype, doom, damn, hold, cherish, rapidly, ledge, sick, breather, bumbo, pit, drain, comedy, simplistic, vision, execution, traditional, lover, terror, frankly, sheer, generate, chain, friend, glorious, mouth, self, worth, hook, gorgeous"
53,"imersive, hop, forgot, accedently, stop, kindly, play, poop, sexy, mr, pro, sht, con, piece, already, would, highly, never, recommend, good, buy, first, great, game, , , , , , "
54,"free, valve, hacker, rank, purchase, pathetic, prime, app, weirdly, money, wall, compute, mom, abode, valorant, encentuate, bitcoin, wallpaper, subreddit, rwallpaper, showcase, saucy, freeware, montage, gooner, rainmeter, launder, program, guess, version"
55,"discount, physicist, directionless, swindle, theoretical, unrealistic, honor, militarygrade, wallet, weaponry, medal, unironically, gordon, politic, discussion, multiplayer, peaceful, microtransaction, vote, freeman, utterly, buy, disgusting, pretend, nonetheless, diplomacy, split, everywhere, duty, victory"
56,"hitman, franchise, breadman, diana, dosent, agent, freelancer, background, ultimate, count, favourite, absolute, legend, obviously, alone, storyline, explore, stick, plus, must, hand, fan, main, mode, worth, series, ever, level, know, buy"
57,"bioshock, orignal, daddy, idea, remastere, remastered, great, version, appreciate, book, prefer, behind, light, epic, nothing, depth, cause, therethey, remastereda, timeand, texturesthe, trythat, waaaaayyy, ohhh, originial, versionwell, favorite, element, love, texture"
58,"gi, meat, straight, epic, kiddo, er, emptiness, disgrace, cope, cleaning, suffocate, hamburger, sacred, erode, filthy, fragrance, viscera, taco, infant, tuesday, loneliness, tract, tis, oblivion, ems, bleed, starve, sanity, induce, soothing"
59,"assassin, creed, ezio, ezios, rome, reclaim, since, brotherhood, games, fan, master, ac, recommend, especially, remember, series, dropper, centerfold, storydriven, acii, venice, jaw, vividly, priceget, florence, roma, visit, induct, imply, continuation"
60,"css, csgo, cs, server, counterstrike, community, yuou, disrespect, csgoisano, pricy, downhill, reto, bullying, bully, scoutknive, awpclancom, boomer, argue, alpha, buff, mans, humble, genuinely, peak, commit, cheat, real, active, trash, ever"
61,"pew, coexist, godawful, spergs, biophage, space, chain, crap, marine, cod, battlefield, totally, community, opinion, strong, beat, honestly, dead, good, amazing, decent, full, point, combat, though, fun, well, game, like, "
62,"kombat, masterpiece, metal, kojima, gear, mk, phantom, mortal, garbage, solid, bravo, hideo, predator, baker, antismoking, troy, cigar, mtx, scale, blunt, enjoyable, miserable, laughable, nemesis, warning, surely, alien, consist, disgusting, mission"
63,"wolf, pixelart, adrian, zodiac, shepard, amongus, crawler, fk, male, bing, attraction, wholesome, sexual, alien, chill, straight, sign, among, dungeon, love, despite, face, weird, tell, choice, never, see, , , "
64,"superb, dialogue, heavly, mic, becouse, act, voice, voiceacting, communication, great, rely, run, tho, score, glitch, neat, anymore, gaming, ride, thumb, well, month, manage, along, visual, hold, past, terrible, opinion, expect"
65,"defense, several, section, team, coop, solo, ship, bonk, toy, since, build, soldier, enemy, anything, level, die, playthrough, jump, go, ineffective, infinitum, crystal, devote, freespace, battle, one, make, etc, combat, type"
66,"price, epic, correctley, gall, abusive, annual, sport, brazil, already, largely, profit, recall, alienate, raise, screw, greedy, indie, exclusive, customer, hike, ignore, receive, majority, recent, aaa, till, improvement, ea, expensive, potential"
67,"cover, giv, kennedy, president, mason, assassinate, alex, john, feed, award, family, government, crack, fuck, satisfying, hide, take, fact, amount, space, control, back, love, , , , , , , "
